Profession,married_men,married_women,difference,work_more
Biological Technicians,9.0,8.0,1.0,men
Biomedical and agricultural engineers,9.8,8.0,1.8,men
"Bookkeeping, Accounting, and Auditing Clerks",8.4,7.0,1.4,men
"Brickmasons, blockmasons, stonemasons, and reinforcing iron and rebar workers",8.2,6.0,2.2,men
"Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other",8.5,7.3,1.2,men
Brokerage Clerks,9.4,7.2,2.2,men
Budget analysts,8.8,8.1,0.7,men
Bus and Truck Mechanics and Diesel Engine Specialists,8.9,7.8,1.1,men
Bus Drivers,8.0,6.3,1.7,men
"Business operations specialists, all others",8.8,8.0,0.8,men
"Butchers and Other Meat, Poultry, and Fish Processing Workers",8.4,8.1,0.3,men
"Buyers and purchasing agents, farm products",9.9,7.5,2.4,men
Cabinetmakers and Bench Carpenters,8.6,8.0,0.6,men
Cargo and Freight Agents,8.3,7.3,1.0,men
Carpenters,8.4,8.1,0.3,men
"Carpet, Floor, and Tile Installers and Finishers",8.5,5.6,2.9,men
Cashiers,7.5,6.2,1.3,men
Chefs and Head Cooks,9.2,7.6,1.6,men
Chemical Engineers,9.1,8.1,1.0,men
"Chemical Processing Machine Setters, Operators, and Tenders",8.9,8.0,0.9,men
Chemical Technicians,8.9,8.3,0.6,men
Chemists and Materials Scientists,8.8,8.3,0.5,men
Chief executives and legislators,10.0,8.8,1.2,men
Childcare Workers,7.2,5.7,1.5,men
Chiropractors,8.3,6.8,1.5,men
Civil Engineers,8.8,7.9,0.9,men
"Claims adjusters, appraisers, examiners, and investigators",8.8,8.1,0.7,men
Cleaners of Vehicles and Equipment,8.5,6.6,1.9,men
Clergy,9.1,6.8,2.3,men
Clinical Laboratory Technologists and Technicians,8.4,7.2,1.2,men
"Coin, Vending, and Amusement Machine Servicers and Repairers",8.5,7.8,0.7,men
"Combined Food Preparation and Serving Workers, Including Fast Food",7.4,6.4,1.0,men
"Communications Equipment Operators, All Other",9.6,5.5,4.1,men
Compensation and benefits managers,9.6,8.4,1.2,men
"Compensation, benefits, and job analysis specialists",8.4,8.3,0.1,men
Compliance officers,8.7,8.2,0.5,men
Computer and information research scientists,9.1,8.2,0.9,men
Computer and information systems managers,9.0,8.5,0.5,men
Computer Control Programmers and Operators,9.2,8.2,1.0,men
Computer Hardware Engineers,8.7,8.6,0.1,men
Computer network architects,8.9,8.3,0.6,men
"Computer occupations, all other",8.6,8.0,0.6,men
Computer Operators,8.6,7.1,1.5,men
Computer programmers,8.6,7.9,0.7,men
Computer support specialists,8.4,7.8,0.6,men
Computer systems analysts,8.5,8.2,0.3,men
"Computer, Automated Teller, and Office Machine Repairers",8.5,7.9,0.6,men
Conservation Scientists and Foresters,8.5,7.8,0.7,men
Construction and Building Inspectors,8.9,8.0,0.9,men
"Construction equipment operators except paving, surfacing, and tamping equipment operators",9.2,8.8,0.4,men
Construction Laborers,8.4,7.1,1.3,men
Construction managers,9.4,8.2,1.2,men
Control and Valve Installers and Repairers,8.2,7.8,0.4,men
"Conveyor operators and tenders, and hoist and winch operators",8.9,8.0,0.9,men
Cooks,8.1,6.6,1.5,men
Correspondent clerks and order clerks,8.5,7.6,0.9,men
Cost estimators,9.1,7.4,1.7,men
Counselors,8.2,7.4,0.8,men
Counter and Rental Clerks,8.5,6.8,1.7,men
